Action,Agent X,Agent Y,Audio Observation,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,-1,5,14,0
1,8,0,0,1,6,14,-1
3,7,0,0,0,5,14,-1
0,7,1,0,0,5,13,-1
3,6,1,0,1,5,12,-1
3,5,1,0,0,6,12,-1
2,5,0,0,0,6,11,-1
3,4,0,0,0,6,10,-1
1,5,0,0,0,6,9,-1
3,4,0,0,0,7,9,-1
3,3,0,0,0,7,10,-1
1,4,0,0,0,7,9,-1
3,3,0,0,0,7,8,-1
1,4,0,0,0,7,7,-1
3,3,0,0,0,7,6,-1
1,4,0,0,0,6,6,-1
3,3,0,0,0,5,6,-1
3,2,0,0,0,5,5,-1
1,3,0,0,0,5,4,-1
1,4,0,0,0,6,4,-1
1,5,0,0,1,7,4,-1
3,4,0,0,0,6,4,-1
3,3,0,0,0,6,3,-1
3,2,0,0,0,6,2,-1
1,3,0,0,0,6,3,-1
3,2,0,0,0,6,2,-1
1,3,0,0,1,6,1,-1
3,2,0,0,0,5,1,-1
3,1,0,0,1,5,0,-1
0,1,1,0,0,4,0,-1
0,1,2,0,0,2,0,-1
1,2,2,0,1,1,1,-1
1,3,2,0,0,1,0,-1
0,3,3,0,0,3,0,-1
2,3,2,0,0,2,0,-1
3,2,2,0,1,1,0,-1
1,3,2,0,1,0,1,-1
0,3,3,0,0,1,0,-1
2,3,2,0,0,0,0,-1
3,2,2,0,1,1,0,-1
0,2,3,0,1,0,1,-1
0,2,4,0,1,0,2,-1
0,2,5,0,1,1,3,-1
1,3,5,0,1,2,4,-1
1,4,5,0,1,1,5,-1
0,4,6,0,1,2,6,-1
0,4,7,0,1,3,6,-1
1,5,7,0,1,5,6,-1
0,5,8,0,1,5,8,-101
0,5,8,0,1,5,8,-101
