Action,Agent X,Agent Y,Audio Observation,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,-1,11,8,0
3,6,0,0,0,11,7,-1
0,6,1,0,0,11,6,-1
1,7,1,0,0,10,6,-1
3,6,1,0,0,11,6,-1
2,6,0,0,0,10,6,-1
3,5,0,0,0,11,6,-1
1,6,0,0,1,11,5,-1
3,5,0,0,1,10,4,-1
3,4,0,0,0,9,4,-1
3,3,0,0,0,8,3,-1
0,3,1,0,0,7,2,-1
3,2,1,0,0,6,1,-1
0,2,2,0,0,6,0,-1
0,2,3,0,1,4,0,-1
0,2,4,0,1,3,1,-1
0,2,5,0,1,2,0,-1
0,2,6,0,1,3,0,-1
3,1,6,0,1,3,2,-1
3,0,6,0,1,2,3,-1
0,0,7,0,1,2,5,-1
1,1,7,0,1,2,6,-1
3,0,7,0,1,1,6,-1
2,0,6,0,1,0,7,-1
2,0,5,0,1,0,5,-101
2,0,5,0,1,0,5,-101
