Action,Agent X,Agent Y,Audio Observation,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,-1,5,14,0
1,8,0,0,0,5,13,-1
3,7,0,0,0,5,12,-1
1,8,0,0,1,6,12,-1
3,7,0,0,0,6,11,-1
0,7,1,0,0,5,11,-1
1,8,1,0,1,4,11,-1
2,8,0,0,1,4,9,-1
3,7,0,0,1,4,8,-1
3,6,0,0,0,4,6,-1
1,7,0,0,0,3,5,-1
1,8,0,0,0,3,4,-1
0,8,1,0,0,3,3,-1
3,7,1,0,0,3,2,-1
0,7,2,0,0,3,3,-1
3,6,2,0,0,3,2,-1
2,6,1,0,0,3,3,-1
2,6,0,0,0,3,2,-1
1,7,0,0,0,3,3,-1
1,8,0,0,0,3,2,-1
3,7,0,0,0,3,3,-1
0,7,1,0,0,3,4,-1
0,7,2,0,0,3,5,-1
2,7,1,0,1,4,5,-1
2,7,0,0,1,5,5,-1
1,8,0,0,1,5,4,-1
1,9,0,0,1,6,4,-1
1,10,0,0,1,6,3,-1
1,11,0,0,1,8,3,-1
1,12,0,0,1,9,3,-1
1,13,0,0,1,10,2,-1
1,14,0,0,0,11,2,-1
3,13,0,0,0,12,3,-1
3,12,0,0,1,12,1,-1
3,11,0,0,1,11,0,-101
3,11,0,0,1,11,0,-101
