Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,5,14,0
1,8,0,0,5,13,-1
3,7,0,0,5,12,-1
3,6,0,1,5,10,-1
3,5,0,0,6,11,-1
3,4,0,0,6,10,-1
3,3,0,0,6,9,-1
3,2,0,0,7,9,-1
3,1,0,0,7,8,-1
3,0,0,1,6,7,-1
1,1,0,0,5,6,-1
3,0,0,0,5,5,-1
0,0,1,1,4,5,-1
2,0,0,1,3,5,-1
1,1,0,0,3,3,-1
1,2,0,0,2,3,-1
1,3,0,0,2,2,-1
1,4,0,0,3,2,-1
1,5,0,0,2,2,-1
0,5,1,0,3,2,-1
1,6,1,0,2,2,-1
0,6,2,0,1,2,-1
2,6,1,0,2,2,-1
2,6,0,0,1,2,-1
1,7,0,0,0,2,-1
0,7,1,0,1,2,-1
1,8,1,0,2,2,-1
1,9,1,0,3,2,-1
0,9,2,0,2,2,-1
2,9,1,0,3,2,-1
2,9,0,0,3,3,-1
3,8,0,0,3,2,-1
1,9,0,0,3,3,-1
0,9,1,0,3,2,-1
2,9,0,0,2,2,-1
3,8,0,0,3,2,-1
3,7,0,0,3,3,-1
1,8,0,0,3,4,-1
0,8,1,0,3,3,-1
1,9,1,0,3,2,-1
2,9,0,0,3,3,-1
1,10,0,0,3,2,-1
3,9,0,0,3,3,-1
0,9,1,0,3,2,-1
1,10,1,0,3,3,-1
2,10,0,0,2,3,-1
1,11,0,0,3,3,-1
0,11,1,0,3,2,-1
1,12,1,0,3,3,-1
2,12,0,0,3,4,-1
1,13,0,0,3,3,-1
1,14,0,0,3,4,-1
3,13,0,0,3,3,-1
3,12,0,0,3,4,-1
0,12,1,0,3,3,-1
0,12,2,0,3,4,-1
2,12,1,0,3,3,-1
3,11,1,0,3,2,-1
3,10,1,0,3,3,-1
2,10,0,0,3,2,-1
0,10,1,0,3,3,-1
0,10,2,0,3,2,-1
1,11,2,0,2,2,-1
2,11,1,0,2,3,-1
3,10,1,0,3,3,-1
0,10,2,0,3,2,-1
1,11,2,0,3,3,-1
2,11,1,0,2,3,-1
2,11,0,0,1,3,-1
0,11,1,0,2,3,-1
0,11,2,0,3,3,-1
3,10,2,0,3,4,-1
1,11,2,1,3,5,-1
2,11,1,1,4,5,-1
2,11,0,1,5,5,-1
1,12,0,1,6,5,-1
1,13,0,1,7,5,-1
3,12,0,1,8,4,-1
1,13,0,1,9,4,-1
1,14,0,0,10,3,-1
3,13,0,1,11,2,-1
3,12,0,1,11,3,-1
3,11,0,1,11,4,-1
3,10,0,1,11,2,-1
3,9,0,1,10,2,-1
3,8,0,1,9,1,-1
3,7,0,1,8,1,-1
3,6,0,1,6,1,-1
3,5,0,1,5,0,-101
3,5,0,1,5,0,-101
