Action,Agent X,Agent Y,Audio Observation,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,-1,11,8,0
1,8,0,0,0,11,7,-1
3,7,0,0,0,11,6,-1
3,6,0,0,0,10,6,-1
3,5,0,0,0,11,6,-1
3,4,0,0,0,11,7,-1
3,3,0,0,0,11,8,-1
3,2,0,0,0,11,7,-1
0,2,1,0,0,12,7,-1
1,3,1,0,0,11,7,-1
1,4,1,0,0,11,8,-1
2,4,0,0,0,10,8,-1
1,5,0,0,0,9,8,-1
1,6,0,0,0,8,8,-1
0,6,1,0,0,8,9,-1
2,6,0,0,0,8,10,-1
1,7,0,0,0,7,10,-1
0,7,1,0,0,8,10,-1
0,7,2,0,0,8,9,-1
0,7,3,0,0,7,9,-1
1,8,3,0,1,7,8,-1
2,8,2,0,1,7,6,-1
3,7,2,0,1,8,5,-1
2,7,1,0,0,7,5,-1
2,7,0,0,1,8,5,-1
3,6,0,0,1,8,3,-1
3,5,0,0,0,7,3,-1
3,4,0,0,0,7,2,-1
0,4,1,0,0,7,3,-1
2,4,0,0,0,6,3,-1
3,3,0,0,0,5,3,-1
3,2,0,0,0,6,3,-1
0,2,1,0,0,5,3,-1
0,2,2,0,0,6,3,-1
0,2,3,0,0,5,3,-1
2,2,2,0,0,5,4,-1
2,2,1,0,0,5,3,-1
3,1,1,0,0,5,4,-1
3,0,1,0,0,5,5,-1
0,0,2,0,1,4,5,-1
2,0,1,0,1,3,5,-1
2,0,0,0,1,3,4,-1
1,1,0,0,1,2,4,-1
0,1,1,0,1,2,5,-1
3,0,1,0,1,2,4,-1
2,0,0,0,1,2,2,-1
1,1,0,0,1,1,1,-1
1,2,0,0,1,2,0,-101
1,2,0,0,1,2,0,-101
